epoch,loss,acc,mf1,wf1,kappa,ece
1,1.6386523246765137,0.0,0.0,0.0,0.0,0.2954888641834259
2,1.5898723602294922,0.0,0.0,0.0,0.0,0.2933744490146637
3,1.5521588325500488,0.0,0.0,0.0,0.0,0.29379114508628845
4,1.5124714374542236,0.0,0.0,0.0,0.0,0.30101922154426575
5,1.4800771474838257,0.0,0.0,0.0,0.0,0.3111887276172638
6,1.4384992122650146,0.0,0.0,0.0,0.0,0.3250076174736023
7,1.3992226123809814,0.0,0.0,0.0,0.0,0.34410331646601355
